Louis Hofmann; 	Dark
Jon Bernthal; The Punisher
Charlie Cox; Daredevil
Neil Patrick Harris; How I Met Your Mother
Wentworth Miller; Prison Break
Tom Ellis; Lucifer
Cillian Murphy; Peaky Blinders
Sophie Turner; Game Of Thrones
Bryan Cranston; Breaking Bad
Jennifer Aniston; Friends
Katheryn Winnick; Vikings
Norman Reedus; The Walking Dead
Patrick J. Adams; Suits
Gillian Jacobs; Community
Sofia Vergara; Modern Family
Anna Taylor Joy; The Queens Gambit
Jerry Seinfeld; Seinfeld
Henry Cavill; The Witcher
Rainn Wilson; The Office
